,,,,Website,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,PRESCHOOL TEACHER TRAINING,,,
,,,SPECIAL EDUCATION,,,
,PL GDANSK11,ATENEUM-SZKOŁA WYŻSZA W GDAŃSKU,ENGLISH LANGUAGE and LITERATURE,https://ateneum.edu.pl/sites/erasmus,ateneum.edu.pl,https://www.google.com/s2/favicons?domain=ateneum.edu.pl&sz=256
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,ADVERTISEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,PUBLIC RELATIONS and PUBLICITY,,,
,,,JOURNALISM,,,
,PL JAROSLA02,PANSTWOWA WYZSZA SZKOLA TECHNICZNO - EKONOMICZNA IM. KS. BRONISLAWA MARKIEWICZA,ENGLISH LANGUAGE and LITERATURE,https://international.pwste.edu.pl/en/,international.pwste.edu.pl,https://www.google.com/s2/favicons?domain=international.pwste.edu.pl&sz=256
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,COMPUTER ENGINEERING (FOR STAFF ONLY),,,
,,,NURSING (FOR STAFF ONLY),,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,PL KATOWIC01,UNIWERSYTET SLASKI,ENGLISH LANGUAGE and LITERATURE,https://us.edu.pl/wspolpraca/wspolpraca-miedzynarodowa/mobilnosc-miedzynarodowa/program-erasmus/,us.edu.pl,https://www.google.com/s2/favicons?domain=us.edu.pl&sz=256
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,MATHEMATICS,,,
,,,STATISTICS,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,PL KATOWIC07,GORNOSLASKA WYZSZA SZKOLA HANDLOWA IM. WOJCIECHA KORFANTEGO,PSYCHOLOGY,https://www.gwsh.pl/erasmus,gwsh.pl,https://www.google.com/s2/favicons?domain=gwsh.pl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,PL KRAKOW03,POLITECHNIKA KRAKOWSKA,ARCHITECTURE,https://erasmus.pk.edu.pl/,erasmus.pk.edu.pl,https://www.google.com/s2/favicons?domain=erasmus.pk.edu.pl&sz=256
,,,MECHANICAL ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,COMPUTER PROGRAMMING,,,
,,,SOFTWARE ENGINEERING,,,
,PL KRAKOW04,CRACOW UNIVERSITY OF ECONOMICS,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://bpz.uek.krakow.pl/en/outgoing-exchange-students/mobility-programs-overview/erasmus-ka131-period-2021-27/erasmus-programme-dissemination/,bpz.uek.krakow.pl,https://www.google.com/s2/favicons?domain=bpz.uek.krakow.pl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,PL KWIDZYN01,POWIŚLAŃSKA AKADEMIA NAUK STOSOWANYCH (POWIŚLAŃSKA ACADEMY OF APPLIED SCIENCES),ECONOMICS and FINANCE,https://powislanska.edu.pl/student/strefa-studenta/erasmus-plus/,powislanska.edu.pl,https://www.google.com/s2/favicons?domain=powislanska.edu.pl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,NURSING,,,
,,,COMPUTER PROGRAMMING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,PL LEGNICA01,COLLEGIUM WITELONA UCZELNIA PANSTWOWA,FOREIGN TRADE,https://erasmus.collegiumwitelona.pl/,erasmus.collegiumwitelona.pl,https://www.google.com/s2/favicons?domain=erasmus.collegiumwitelona.pl&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER PROGRAMMING,,,
,,,COMPUTER ENGINEERING,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,PL LODZ01,UNIWERSYTET LODZKI,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://www.uni.lodz.pl/wyjazdy-zagraniczne/erasmus-studia,uni.lodz.pl,https://www.google.com/s2/favicons?domain=uni.lodz.pl&sz=256
,,,APPLIED RUSSIAN-TURKISH TRANSLATION,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-RUSSIAN),,,
,,,FOREIGN TRADE,,,
,,,ECONOMICS and FINANCE,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,PL LODZ09,SPOLECZNA AKADEMIA NAUK,BUSINESS MANAGEMENT,https://san.edu.pl/student/o-erasmus,san.edu.pl,https://www.google.com/s2/favicons?domain=san.edu.pl&sz=256
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,TRANSLATION AND INTERPRETING(ENGLISH-TURKISH),,,
,,,ENGLISH LANGUAGE AND LITERATURE,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,PL LOMZA03,AKADEMIJA ŁOMŻYŃSKA,BUSINESS MANAGEMENT,https://al.edu.pl/dwz/erasmus/o-programie,al.edu.pl,https://www.google.com/s2/favicons?domain=al.edu.pl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,NURSING,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION ,,,
,,,NUTRITION AND DIETETICS ,,,
,,,TRANSLATION AND INTERPRETING(ENGLISH-TURKISH) ,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,PL LUBLIN 02,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWLA,,"https://www.kul.pl/rekrutacja-na-wyjazdy-na-czesc-studiow-erasmus,art_5268.html",kul.pl,https://www.google.com/s2/favicons?domain=kul.pl&sz=256
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,PL LUBLIN04,UNIWERSYTET PRZYRODNICZY W LUBLINIE,BUSINESS MANAGEMENT,https://up.lublin.pl/edukacja/erasmus/,up.lublin.pl,https://www.google.com/s2/favicons?domain=up.lublin.pl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,GASTRONOMY,,,
,,,NUTRITION AND DIETETICS,,,
,,,FOOD ENGINEERING,,,
,,,FOOD TECHNOLOGY,,,
,,,FOOD QUALITY CONTROL ANALYSIS,,,
,PL OSTROWI01,AKADEMIA NAUK STOSOWANYCH IM JÓZEFA GOŁUCHOWSKIEGO,BUSINESS MANAGEMENT,https://goluchowski.edu.pl/,goluchowski.edu.pl,https://www.google.com/s2/favicons?domain=goluchowski.edu.pl&sz=256
,,,ECONOMICS and FINANCE,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,BANKING AND INSURANCE,,,
,,,NURSING,,,
,,,SOCIAL WORK,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,PSYCHOLOGICAL COUNSELLING AND GUIDANCE,,,
,PL PILA02,PAŃSTWOWA UCZELNIA STANISŁAWA STASZICA W PILE,BUSINESS MANAGEMENT,https://erasmus.ans.pila.pl/,erasmus.ans.pila.pl,https://www.google.com/s2/favicons?domain=erasmus.ans.pila.pl&sz=256
,,,BANKING AND INSURANCE,,,
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,FOREIGN TRADE,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,NURSING,,,
,,,CIVIL ENGINEERING,,,
,,,MECHANICAL ENGINEERING,,,
,,,HAIR CARE and BEAUTY SERVICES (FOR STAFF ONLY),,,
,,,FIRST AND EMERGENCY AID (FOR STAFF ONLY),,,
,,,PHYSIOTHERAPY AND REHABILITATION (FOR STAFF ONLY),,,
,PL POZNAN01,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU,LAW,https://erasmus.amu.edu.pl/en,erasmus.amu.edu.pl,https://www.google.com/s2/favicons?domain=erasmus.amu.edu.pl&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,ARABIC LANGUAGE TEACHING,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ARABIC),,,
,PL POZNAN02,POLITECHNIKA POZNANSKA,ELECTRICAL and ELECTRONICS ENGINEERING,https://put.poznan.pl/en/ERASMUS,put.poznan.pl,https://www.google.com/s2/favicons?domain=put.poznan.pl&sz=256
,,,ELECTRONIC TECHONOLOGY,,,
,PL WARSZAW02,POLITECHNIKA WARSZAWSKA,CIVIL ENGINEERING,https://erasmus.pw.edu.pl/,erasmus.pw.edu.pl,https://www.google.com/s2/favicons?domain=erasmus.pw.edu.pl&sz=256
,PL POZNAN13,WSB MERITO UNIVERSITY,ECONOMICS and FINANCE,https://www.merito.pl/english/erasmus,merito.pl,https://www.google.com/s2/favicons?domain=merito.pl&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,PL POZNAN17,WYZSZA SZKOLA UMIEJETNOSCI SPOLECZNYCH,LAW,https://wsus.pl/erasmus-ru/,wsus.pl,https://www.google.com/s2/favicons?domain=wsus.pl&sz=256
,,,JOURNALISM,,,
,,,GRAPHIC DESIGN,,,
,,,FASHION DESIGN,,,
,,,TEXTILE and FASHION DESIGN,,,
,,,PUBLIC RELATIONS and PUBLICTY,,,
,,,RADIO TELEVISION and CINEMA,,,
,PL RADOM04,AKADEMIA HANDLOWA NAUK STOSOWANYCH W RADOMIU,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://ahns.pl/en/candidate-zone/erasmus-program/,ahns.pl,https://www.google.com/s2/favicons?domain=ahns.pl&sz=256
,PL TARNOW02,PANSTWOWA WYZSZA SZKOLA ZAWODOWA W TARNOWIE,NURSING,https://international.pwsztar.edu.pl/erasmus/,international.pwsztar.edu.pl,https://www.google.com/s2/favicons?domain=international.pwsztar.edu.pl&sz=256
,PL WALBRZY04,PAŃSTWOWA UCZELNIA ANGELUSA SILESIUSA,NUTRITION AND DIETETICS (JUST INTERNSHIP AND STAFF MOBILITY ),https://www.ans.edu.pl/erasmus,ans.edu.pl,https://www.google.com/s2/favicons?domain=ans.edu.pl&sz=256
,,,GRAPHIC DESIGN  (JUST INTERNSHIP AND STAFF MOBILITY ),,,
,,,ENGLISH LANGUAGE and LITERATURE  (JUST INTERNSHIP AND STAFF MOBILITY ),,,
,,,INTERIOR DESIGN  (JUST INTERNSHIP AND STAFF MOBILITY ),,,
,,,BUSINESS MANAGEMENT,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH)  (JUST INTERNSHIP AND STAFF MOBILITY ),,,
,PL WARSZAW05,SZKOLA GLOWNA GOSPODARSTWA WIEJSKIEGO,NUTRITION AND DIETETICS,https://www.sggw.edu.pl/wspolpraca/wspolpraca-miedzynarodowa/erasmus/,sggw.edu.pl,https://www.google.com/s2/favicons?domain=sggw.edu.pl&sz=256
,,,FOOD ENGINEERING,,,
,,,FOOD TECHNOLOGY,,,
,PL WARSZAW12,AKADEMIA WYCHOWANIA FIZYCZNEGO JOZEFA PILSUDSKIEGO W WARSZAWIE,PHYSIOTHERAPY AND REHABILITATION,https://www.awf.edu.pl/wspolpraca-z-zagranica/erasmus2,awf.edu.pl,https://www.google.com/s2/favicons?domain=awf.edu.pl&sz=256
,,,TOURISM GUIDANCE,,,
,,,TOURISM AND HOTEL MANAGEMENT ,,,
,PL WARSZAW14,UCZELNIA LAZARSKIEGO,FOREIGN TRADE,https://www.lazarski.pl/pl/wspolpraca/erasmus,lazarski.pl,https://www.google.com/s2/favicons?domain=lazarski.pl&sz=256
,,,LAW,,,
,,,ECONOMICS and FINANCE,,,
,,,NURSING,,,
,,,BUSINESS MANAGEMENT,,,
,,,MEDICINE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,AVIATION MANAGEMENT (FOR STAFF ONLY),,,
,,,CIVIL AIR TRANSPORT MANAGEMENT (FOR STAFF ONLY),,,
,,,CIVIL AVIATION CABIN SERVICES (FOR STAFF ONLY),,,
,PL WARSZAW17,UCZELNIA TECHNICZNO-HANDLOWA IM. HELENY CHODKOWSKIEJ,COMPUTER ENGINEERING,https://www.uth.edu.pl/o-uczelni/erasmus/o-programie-erasmus,uth.edu.pl,https://www.google.com/s2/favicons?domain=uth.edu.pl&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MARKETING,,,
,,,SOFTWARE ENGINEERING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
,PL WARSZAW37,UNIWERSYTET SWPS,PSYCHOLOGY,https://english.swps.pl/programs/review-our-programs/erasmus-incoming-students,english.swps.pl,https://www.google.com/s2/favicons?domain=english.swps.pl&sz=256
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,FOREIGN TRADE,,,
,,,ECONOMICS and FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,PL WARSZAW63,VIZJA UNIVERSITY,BUSINESS MANAGEMENT,https://erasmus.vizja.pl/incoming-students/,erasmus.vizja.pl,https://www.google.com/s2/favicons?domain=erasmus.vizja.pl&sz=256
,,,ECONOMICS and FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,PSYCHOLOGY,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,PL WARSZAW97,WYZSZA SZKOLA BANKOWA W WARSZAWIE,ECONOMICS and FINANCE,https://www.merito.pl/english/warszawa/erasmus/erasmus-incoming-students,merito.pl,https://www.google.com/s2/favicons?domain=merito.pl&sz=256
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,PL WROCLAW01,UNIWERSYTET WROCLAWSKI,JOURNALISM,https://international.uni.wroc.pl/en/incoming-exchange-students/erasmus-exchange,international.uni.wroc.pl,https://www.google.com/s2/favicons?domain=international.uni.wroc.pl&sz=256
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,NEW MEDIA AND COMMUNICATION,,,
,PL WROCLAW15,UNIWERSYTET WSB MERITO WE WROCŁAWIU,BUSINESS MANAGEMENT,https://www.merito.pl/english/wroclaw/erasmus/incoming,merito.pl,https://www.google.com/s2/favicons?domain=merito.pl&sz=256
,,,ECONOMICS and FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
PORTUGAL,P ACORES01,UNIVERSIDADE DOS ACORES,BUSINESS MANAGEMENT,https://international.uac.pt/erasmus/,international.uac.pt,https://www.google.com/s2/favicons?domain=international.uac.pt&sz=256
,,,JOURNALISM,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,NEW MEDIA AND COMMUNICATION,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,P BRAGANC01,INSTITUTO POLITECNICO DE BRAGANCA,NUTRITION AND DIETETICS  ,https://ipb.pt/pt/internacionalizar/erasmus/mobilidade-estudantes,ipb.pt,https://www.google.com/s2/favicons?domain=ipb.pt&sz=256
,P CASTELO01,INSTITUTO POLITECNICO DE CASTELO BRANCO,TEXTILE and FASHION DESIGN,https://www.ipcb.pt/estudar/internacionais/,ipcb.pt,https://www.google.com/s2/favicons?domain=ipcb.pt&sz=256
,,,CIVIL ENGINEERING,,,
,,,FOOD ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,BUSINESS MANAGEMENT,,,
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,FOOD SAFETY,,,
,,,FOOD TECHNOLOGY,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,P EVORA01,UNIVERSIDADE DE EVORA,TOURISM GUIDANCE,https://www.uevora.pt/en/study/Mobility/Mobility-Out/Student-Mobility,uevora.pt,https://www.google.com/s2/favicons?domain=uevora.pt&sz=256
,,,TOURISM AND HOTEL MANAGEMENT ,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,MUSIC TEACHER TRAINING,,,
,P FAFE05,INSTITUTO EUROPEU DE ESTUDOS SUPERIORES IEES LDA,PHYSICAL EDUCATION AND SPORTS EDUCATION,https://iees.pt/internacional/,iees.pt,https://www.google.com/s2/favicons?domain=iees.pt&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,PRIMARY EDUCATION,,,
,P GUARDA01,INSTITUTO POLITECNICO DA GUARDA,CIVIL ENGINEERING,https://politecnicoguarda.pt/en/learning/mobility-programs/,politecnicoguarda.pt,https://www.google.com/s2/favicons?domain=politecnicoguarda.pt&sz=256
,,,CIVIL TECHONOLOGY,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,COMPUTER TECHNOLOGY,,,
,,,ELEMENTARY EDUCATION,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,PRESCHOOL TEACHER EDUCATION,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,P LISBOA 11,C.E.U- COOPERATIVA DE ENSINO SUPERIOR E INVESTIGACAO CIENTIFICA CRL,,https://www.ceu.edu/academics/non-degree/erasmus,ceu.edu,https://www.google.com/s2/favicons?domain=ceu.edu&sz=256
,,,,,,
,,,,,,
,P LISBOA104,UNIVERSIDADE TÉCNICA DE LISBOA,AVIATION MANAGEMENT,https://www.iseclisboa.pt/index.php/en/erasmus-for-studies?highlight=WyJlcmFzbXVzIl0=,iseclisboa.pt,https://www.google.com/s2/favicons?domain=iseclisboa.pt&sz=256
,,,CIVIL AVIATION MANAGEMENT,,,
,,,CIVIL AIR TRANSPORT MANAGEMENT,,,
,P LISBOA109,UNIVERSIDADE DE LISBOA,PRESCHOOL TEACHER EDUCATION,https://www.ulisboa.pt/en/info/erasmus,ulisboa.pt,https://www.google.com/s2/favicons?domain=ulisboa.pt&sz=256
,,,ELEMENTARY EDUCATION,,,
,P LISBOA52,COFAC COOPERATIVA DE FORMACAO E ANIMACAO CULTURAL CRL,CARTOON AND ANIMATION,https://www.ulusofona.pt/erasmus-mundus,ulusofona.pt,https://www.google.com/s2/favicons?domain=ulusofona.pt&sz=256
,,,GRAPHIC DESIGN,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,NEW MEDIA AND COMMUNICATION,,,
,,,DIGITAL GAME DESIGN,,,
,,,CIVIL AIR TRANSPORT MANAGEMENT (FOR STAFF ONLY),,,
,,,AVIATION MANAGEMENT (FOR STAFF ONLY),,,
,,,SPORTS MANAGEMENT,,,
,P LEIRIA 01,INSTITUTO POLITECHNICO DE LEIRIA,,https://www.ipleiria.pt/internacional/programas-de-mobilidade/erasmus/,ipleiria.pt,https://www.google.com/s2/favicons?domain=ipleiria.pt&sz=256
,,,,,,
,P PORTO05,INSTITUTO POLITECNICO DO PORTO INSTITUTO SUPERIOR DE CONTABILIDADE E ADMINISTRAÇÃO AND ESCOLA SUPERIOR DE TECNOLOGIA E GESTÃO,INTERNATIONAL TRADE AND FINANCE,https://www.ipp.pt/international/erasmus-p-porto?set_language=en,ipp.pt,https://www.google.com/s2/favicons?domain=ipp.pt&sz=256
,,,BUSINESS MANAGEMENT,,,
,P PORTALE01,INSTITUTO POLITECNICO DO PORTALEGRE,CIVIL ENGINEERING,https://www.ipportalegre.pt/pt/internacionalizacao/cooperacao-e-mobilidade-internacional/programa-erasmus/,ipportalegre.pt,https://www.google.com/s2/favicons?domain=ipportalegre.pt&sz=256
,,,NURSING,,,
,,,PHYSIOTHERAPY AND REHABILITATION,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,DIGITAL GAME DESIGN,,,
,,,CARTOON AND ANIMATION,,,
,,,ADVERTISEMENT,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,SPECIAL EDUCATION,,,
,,,PRESCHOOL TEACHER EDUCATION,,,
,,,ENERGY TECHNOLOGIES,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SPORTS,,,
,,,SOFTWARE DEVELOPMENT,,,
,P PORTO57,UNIVERSIDADE LUSÓFONA DO PORTO -- COFAC,COACHING EDUCATION,https://www.ulusofona.pt/en/mobility/incoming,ulusofona.pt,https://www.google.com/s2/favicons?domain=ulusofona.pt&sz=256
,,,PHYSICAL EDUCATION AND SPORTS EDUCATION,,,
,,,FASHION DESIGN,,,
,,,TEXTILE and FASHION DESIGN,,,
,P SANTARE06,"ISLA-SANTARÉM, EDUCAÇÃO E CULTURA UNIPESSOAL, LDA.",SOFTWARE DEVELOPMENT,https://www.islasantarem.pt/en/international/international-student/erasmus-incoming-students-staff,islasantarem.pt,https://www.google.com/s2/favicons?domain=islasantarem.pt&sz=256
,,,ECONOMICS and FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,P TOMAR01,INSTITUTO POLITECNICO DE TOMAR,COMPUTER ENGINEERING,https://portal2.ipt.pt/pt/noticias/conferencias/abertura_solene_do_ano_letivo_2025_2026_2025_10_20,portal2.ipt.pt,https://www.google.com/s2/favicons?domain=portal2.ipt.pt&sz=256
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,GRAPHIC DESIGN,,,
,,,JOURNALISM,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,HUMAN RESOURCE MANAGEMENT,,,
,,,CIVIL ENGINEERING,,,
,,,MECHANICAL ENGINEERING,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,PUBLIC RELATIONS and PUBLICTY,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,ADVERTISEMENT,,,
,,,TELEVISION AND FILM,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,P VILANOV01,INSTITUTO POLITÉCNICO DE GESTÃO E TECNOLOGIA -- GAIA -- ENSIGAIA,BUSINESS MANAGEMENT,https://int-islagaia.pt/incoming-student-mobility/,int-islagaia.pt,https://www.google.com/s2/favicons?domain=int-islagaia.pt&sz=256
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,ECONOMICS and FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARER DEVELOPMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,TRANSLATION AND INTERPRETING (FOR STAFF ONLY),,,
,,,EDUCATION STUDIES (FOR STAFF ONLY),,,
ROMANIA,RO ALBAIU01,UNIVERSITATEA 1 DECEMBRIE 1918,ECONOMICS and FINANCE,http://erasmus.uab.ro/,erasmus.uab.ro,https://www.google.com/s2/favicons?domain=erasmus.uab.ro&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,ACCOUNTING and FINANCIAL MANAGEMENT,,,
,,,HISTORY,,,
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,PRESCHOOL TEACHER EDUCATION,,,
,,,PRIMARY EDUCATION,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION AND INTERPRETING (TURKISH-ENGLISH),,,
,,,APPLIED ENGLISH - TURKISH TRANSLATION,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,FOREIGN TRADE,,,
,,,CIVIL ENGINEERING,,,
,,,ELECTRIC AND ELECTRONICS ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE ENGINEERING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE DEVELOPMENT,,,
